Sensor_ID,Mean_Diff,Mean_Heating_ON,Mean_Diff_Warm,Median_Diff,Std_Diff
1,1.3201879201618851,1.459333019680247,-1.0801356630093544,1.364086695000001,1.7675569556328172
2,4.5112019550838856,4.65335625276122,0.3930069775125304,4.535032609999998,1.9861603408990278
3,8.821722033816107,8.971319188704376,1.5097929027702968,8.717812164999998,3.844022323769678
4,2.941168459876244,3.0164082776636265,0.4607493238567964,2.8649055400000023,1.37139651853301
6,4.903713591891305,4.534190867818922,1.6238811111803906,4.813078719999998,2.653107426334913
7,1.983611266195757,1.9127340471591403,1.609578687444855,1.946417460000001,0.8229197700395532
9,7.757331782478799,7.679349473675933,2.8414385664362802,7.54806215,2.8673163025910453
10,4.151268800343816,3.990813348168433,1.738648755358009,4.1071667199999995,1.7251382512803644
11,2.723935512852934,2.6745058704099383,2.5948813287110517,2.542348889999997,1.2183964325770975
12,4.6671163469167976,4.543806547642934,1.3241004553051163,4.454530909499999,2.2025861211686277
13,4.49466369637126,4.554278415610342,1.6267310541154085,3.9446822149999994,2.6810561089757585
14,2.249938684599069,2.3972618796002174,1.0856345585752394,2.015517459999998,1.1222731663698258
15,0.41220088437186597,-0.17264933923358164,1.1712056232573045,0.5667562075000001,4.220077059841994
16,3.059918747931616,3.181565553937176,0.8215274138394734,2.579047937,1.7991392402366426
17,1.981712701093016,1.8805124635028525,0.7714535546173922,1.8244524735000005,1.1730277614886284
18,3.4561346321456083,3.7287920447256275,0.5368462408659299,3.612082954,2.336196751400346
19,7.84077153996851,7.216527050743795,2.78114082745906,6.9618158335,3.3294937099068256
21,8.350458372922553,8.730462010173332,1.913299394118143,7.512105200499999,3.290466296608802
22,4.442348904217014,4.493180917520572,0.911867520288024,4.1977019989999995,1.7923324250864545
23,-0.5354979382377011,-0.5667034581879811,0.4732420469597398,-0.5337757699999983,1.5769910739374866
24,-0.45916114559172233,-0.4517024063028452,-9.818488602814377,0.864588,7.167462812774564
26,1.4792672303812573,2.427659539409115,0.9244129697880296,0.7780195959999999,1.3725095313093436
27,4.700174306799896,9.877992790744788,0.9343660565845303,0.8641385230000003,5.771626690594292
28,-7.479357000525966,-12.054832678414758,0.12513562872456385,-4.41464833,7.551879101094338
29,2.207345314698558,3.6687035867362026,-0.047397804227256084,1.1305871630000004,2.456407444887887
GLOBAL,3.1992870640304942,3.2938746105699845,0.6890767571086872,2.9918605328599996,2.723981584693573
