Sensor_ID,Mean_Diff,Mean_Diff_Warm,Median_Diff,Std_Diff
2,3.8509151293461845,0.3930069775125304,4.535032609999998,1.9861603408990278
3,7.649370918278469,1.5097929027702968,8.717812164999998,3.844022323769678
4,2.5434728464482466,0.4607493238567964,2.8649055400000023,1.37139651853301
6,4.377844809710143,1.6238811111803906,4.813078719999998,2.653107426334913
7,1.9236411128904936,1.609578687444855,1.946417460000001,0.8229197700395532
10,3.764443688883383,1.738648755358009,4.1071667199999995,1.7251382512803644
11,2.7032437345230345,2.5948813287110517,2.542348889999997,1.2183964325770975
14,2.0632611038258157,1.0856345585752394,2.015517459999998,1.1222731663698258
16,2.701028429042903,0.8215274138394734,2.579047937,1.7991392402366426
17,1.7876669663721996,0.7714535546173922,1.8244524735000005,1.1730277614886284
19,7.029540522310855,2.78114082745906,6.9618158335,3.3294937099068256
21,7.318362687304893,1.913299394118143,7.512105200499999,3.290466296608802
22,3.87629257152359,0.911867520288024,4.1977019989999995,1.7923324250864545
23,-0.2979846838095766,0.5291528650945726,-0.475736340000001,1.5752387442000375
26,1.400175044546032,0.9244129697880296,0.7780195959999999,1.3725095313093436
29,2.032356874338173,0.7505361481070721,1.1432452069999997,2.2031023560949903
GLOBAL,3.4202269847209275,1.2762227711700584,3.5039332169687496,1.9549202684209495
